bowtie2_Mutect2	bowtie2_TNscope	bwa_Mutect2	bwa_TNscope	dragmap_Mutect2	dragmap_TNscope	hisat2_Mutect2	hisat2_TNscope	Total_Variants	TP	Recall	Precision	F1score
0	0	1	0	1	0	0	0	1255	535	0.9925788497217068	0.4262948207171315	0.5964325529542921
0	0	1	0	0	1	0	0	737	509	0.9443413729128015	0.6906377204884667	0.7978056426332288
0	0	1	0	0	0	1	0	968	500	0.9276437847866419	0.5165289256198347	0.6635700066357
0	0	1	0	0	0	0	1	643	454	0.8423005565862709	0.7060653188180405	0.7681895093062607
0	0	0	1	1	0	0	0	726	509	0.9443413729128015	0.7011019283746557	0.8047430830039526
0	0	0	1	0	1	0	0	821	509	0.9443413729128015	0.6199756394640682	0.7485294117647059
0	0	0	1	0	0	1	0	663	478	0.8868274582560297	0.7209653092006033	0.7953410981697171
0	0	0	1	0	0	0	1	779	453	0.8404452690166976	0.5815147625160462	0.6874051593323216
0	0	0	0	1	1	0	0	736	509	0.9443413729128015	0.6915760869565217	0.7984313725490196
0	0	0	0	1	0	1	0	966	500	0.9276437847866419	0.5175983436853002	0.6644518272425249
0	0	0	0	1	0	0	1	645	454	0.8423005565862709	0.703875968992248	0.7668918918918919
0	0	0	0	0	1	1	0	663	478	0.8868274582560297	0.7209653092006033	0.7953410981697171
0	0	0	0	0	1	0	1	767	453	0.8404452690166976	0.590612777053455	0.6937212863705972
0	0	0	0	0	0	1	1	611	453	0.8404452690166976	0.7414075286415712	0.7878260869565217
1	1	1	0	0	0	0	0	681	494	0.9165120593692022	0.7254038179148311	0.8098360655737704
1	1	0	1	0	0	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	0	0	1	0	0	0	681	494	0.9165120593692022	0.7254038179148311	0.8098360655737704
1	1	0	0	0	1	0	0	665	489	0.9072356215213359	0.7353383458646616	0.8122923588039868
1	1	0	0	0	0	1	0	645	474	0.8794063079777366	0.7348837209302326	0.8006756756756758
1	1	0	0	0	0	0	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	0	1	1	0	0	0	0	699	503	0.9332096474953617	0.7195994277539342	0.8126009693053311
1	0	1	0	1	0	0	0	1116	524	0.9721706864564007	0.46953405017921146	0.6332326283987915
1	0	1	0	0	1	0	0	705	503	0.9332096474953617	0.7134751773049646	0.8086816720257235
1	0	1	0	0	0	1	0	944	499	0.9257884972170687	0.5286016949152542	0.6729602157788266
1	0	1	0	0	0	0	1	609	454	0.8423005565862709	0.7454844006568144	0.7909407665505226
1	0	0	1	1	0	0	0	699	503	0.9332096474953617	0.7195994277539342	0.8126009693053311
1	0	0	1	0	1	0	0	698	503	0.9332096474953617	0.7206303724928367	0.8132578819725141
1	0	0	1	0	0	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	0	1	0	0	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	0	0	1	1	0	0	705	503	0.9332096474953617	0.7134751773049646	0.8086816720257235
1	0	0	0	1	0	1	0	944	499	0.9257884972170687	0.5286016949152542	0.6729602157788266
1	0	0	0	1	0	0	1	609	454	0.8423005565862709	0.7454844006568144	0.7909407665505226
1	0	0	0	0	1	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	0	0	0	1	0	1	607	453	0.8404452690166976	0.7462932454695222	0.7905759162303665
1	0	0	0	0	0	1	1	605	453	0.8404452690166976	0.7487603305785124	0.7919580419580419
0	1	1	1	0	0	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	1	0	1	0	0	0	691	494	0.9165120593692022	0.7149059334298119	0.8032520325203252
0	1	1	0	0	1	0	0	675	489	0.9072356215213359	0.7244444444444444	0.8056013179571665
0	1	1	0	0	0	1	0	648	474	0.8794063079777366	0.7314814814814815	0.7986520640269589
0	1	1	0	0	0	0	1	613	452	0.8385899814471243	0.7373572593800979	0.7847222222222222
0	1	0	1	1	0	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	0	1	0	1	0	0	700	489	0.9072356215213359	0.6985714285714286	0.7893462469733656
0	1	0	1	0	0	1	0	636	469	0.8701298701298701	0.7374213836477987	0.7982978723404255
0	1	0	1	0	0	0	1	649	451	0.8367346938775511	0.6949152542372882	0.7592592592592592
0	1	0	0	1	1	0	0	675	489	0.9072356215213359	0.7244444444444444	0.8056013179571665
0	1	0	0	1	0	1	0	648	474	0.8794063079777366	0.7314814814814815	0.7986520640269589
0	1	0	0	1	0	0	1	613	452	0.8385899814471243	0.7373572593800979	0.7847222222222222
0	1	0	0	0	1	1	0	637	469	0.8701298701298701	0.7362637362637363	0.7976190476190476
0	1	0	0	0	1	0	1	637	451	0.8367346938775511	0.7080062794348508	0.7670068027210886
0	1	0	0	0	0	1	1	606	451	0.8367346938775511	0.7442244224422442	0.7877729257641922
0	0	1	1	1	0	0	0	726	509	0.9443413729128015	0.7011019283746557	0.8047430830039526
0	0	1	1	0	1	0	0	725	509	0.9443413729128015	0.7020689655172414	0.805379746835443
