DRAGEN-A_DRAGEN-C	Bowtie2_Mutect2	Bowtie2_TNscope	BWA_Mutect2	BWA_TNscope	DRAGMAP_Mutect2	DRAGMAP_TNscope	HISAT2_Mutect2	HISAT2_TNscope	Total_Variants	TP	Recall	Precision	F1score
0	1	0	0	0	0	0	0	0	41650	40575	0.973652004895256	0.974189675870348	0.9739207661750056
0	0	1	0	0	0	0	0	0	38596	37796	0.9069661411465456	0.9792724634677168	0.9417334213706412
0	0	0	1	0	0	0	0	0	41940	40766	0.9782353082331484	0.972007629947544	0.9751115257196848
0	0	0	0	1	0	0	0	0	38643	38079	0.9137571089194444	0.985404859871128	0.9482294935006724
0	0	0	0	0	1	0	0	0	41954	40766	0.9782353082331484	0.9716832721552175	0.9749482822533392
0	0	0	0	0	0	1	0	0	39477	38079	0.9137571089194444	0.9645869746941256	0.9384842883548984
0	0	0	0	0	0	0	1	0	41770	40700	0.9766515489645574	0.9743835288484558	0.97551622065362
0	0	0	0	0	0	0	0	1	37533	36996	0.8877690591030163	0.985692590520342	0.9341716536626012
0	1	1	0	0	0	0	0	0	37746	37465	0.8990233484510355	0.9925555025698088	0.943477001725028
0	1	0	1	0	0	0	0	0	41247	40431	0.9701965301274208	0.9802167430358572	0.9751808972503616
0	1	0	0	1	0	0	0	0	37981	37701	0.9046864876538766	0.9926278928938154	0.9466191277274212
0	1	0	0	0	1	0	0	0	41253	40430	0.9701725337748662	0.9800499357622476	0.97508622145045
0	1	0	0	0	0	1	0	0	37995	37691	0.9044465241283324	0.9919989472298988	0.9462017372094192
0	1	0	0	0	0	0	1	0	41099	40429	0.9701485374223118	0.9836979001922188	0.976876238341468
0	1	0	0	0	0	0	0	1	36918	36660	0.879706284644734	0.9930115390866244	0.9329312516700384
0	0	1	1	0	0	0	0	0	37793	37500	0.8998632207904399	0.9922472415526684	0.9437998640928196
0	0	1	0	1	0	0	0	0	37681	37308	0.8952559210999927	0.990101111966243	0.9402928648839376
0	0	1	0	0	1	0	0	0	37791	37499	0.8998392244378854	0.99227329258289	0.943798449612403
0	0	1	0	0	0	1	0	0	37685	37297	0.8949919612218943	0.989704126310203	0.9399682451674688
0	0	1	0	0	0	0	1	0	37781	37488	0.8995752645597869	0.9922447791217808	0.9436403453570618
0	0	1	0	0	0	0	0	1	37180	36822	0.8835936937585487	0.9903711672942442	0.9339403700556732
0	0	0	1	1	0	0	0	0	38166	37788	0.9067741703261104	0.9900958968715612	0.9466050426483298
0	0	0	1	0	1	0	0	0	41898	40760	0.978091330117822	0.9728387989880184	0.9754579938016776
0	0	0	1	0	0	1	0	0	38173	37778	0.9065342068005664	0.98965237209546	0.9462715727775968
0	0	0	1	0	0	0	1	0	41295	40562	0.9733400523120486	0.9822496670299068	0.9777745636872048
0	0	0	1	0	0	0	0	1	37037	36719	0.8811220694454442	0.9914139914139914	0.9330199466395628
0	0	0	0	1	1	0	0	0	38153	37787	0.906750173973556	0.9904070453175372	0.9467341467692232
0	0	0	0	1	0	1	0	0	38586	38042	0.912869243874931	0.9859016223500752	0.9479809117980538
0	0	0	0	1	0	0	1	0	38108	37759	0.9060782761020324	0.990841817990973	0.94656622504105
0	0	0	0	1	0	0	0	1	37205	36792	0.8828738031819163	0.9888993414863594	0.932883693805624
0	0	0	0	0	1	1	0	0	38169	37777	0.906510210448012	0.9897298855091828	0.9462939305127628
0	0	0	0	0	1	0	1	0	41276	40559	0.9732680632543852	0.982629130729722	0.9779261956141726
0	0	0	0	0	1	0	0	1	37027	36718	0.8810980730928899	0.9916547384341156	0.933113087674714
0	0	0	0	0	0	1	1	0	38115	37751	0.9058863052815972	0.9904499540863178	0.9462826490199028
0	0	0	0	0	0	1	0	1	37230	36784	0.882681832361481	0.98802041364491	0.93238533389098
0	0	0	0	0	0	0	1	1	37094	36718	0.8810980730928899	0.9898635897988892	0.932319372325974
0	1	1	1	0	0	0	0	0	37714	37450	0.8986634031627193	0.9929999469692952	0.9434794109866856
0	1	1	0	1	0	0	0	0	37239	36991	0.8876490773402442	0.9933403152608824	0.9375253446877534
0	1	1	0	0	1	0	0	0	37713	37449	0.8986394068101649	0.9929997613555008	0.9434661023354244
0	1	1	0	0	0	1	0	0	37233	36980	0.8873851174621458	0.9932049525958156	0.937317821204978
0	1	1	0	0	0	0	1	0	37710	37449	0.8986394068101649	0.9930787589498806	0.9435017573032008
0	1	1	0	0	0	0	0	1	36758	36520	0.8763467952871163	0.9935252189999456	0.9312644235060116
0	1	0	1	1	0	0	0	0	37965	37690	0.904422527775778	0.9927564862373238	0.9465330621060298
0	1	0	1	0	1	0	0	0	41243	40428	0.9701245410697574	0.980239070872633	0.9751555791403348
0	1	0	1	0	0	1	0	0	37972	37679	0.9041585678976796	0.9922837880543558	0.9461736455521376
0	1	0	1	0	0	0	1	0	40972	40364	0.968588774506275	0.9851605974812068	0.9768044043801802
0	1	0	1	0	0	0	0	1	36903	36648	0.8794183284140811	0.9930899926835216	0.9328039095907148
0	1	0	0	1	1	0	0	0	37964	37689	0.9043985314232236	0.9927562954377832	0.9465198337456208
0	1	0	0	1	0	1	0	0	37943	37664	0.9037986226093634	0.9926468650343936	0.9461414790996784
0	1	0	0	1	0	0	1	0	37954	37682	0.9042305569553428	0.992833429941508	0.9464628831928869
0	1	0	0	1	0	0	0	1	36709	36458	0.8748590214287428	0.9931624397286768	0.9302646015666862
0	1	0	0	0	1	1	0	0	37971	37678	0.9041345715451252	0.9922835848410628	0.946160413841595
0	1	0	0	0	1	0	1	0	40970	40362	0.9685407818011662	0.985159873077862	0.9767796425589584
0	1	0	0	0	1	0	0	1	36902	36647	0.8793943320615266	0.9930898054306	0.9327903277123768
0	1	0	0	0	0	1	1	0	37958	37672	0.9039905934297988	0.9924653564465988	0.9461641822908164
0	1	0	0	0	0	1	0	1	36700	36448	0.8746190579031987	0.993133514986376	0.930116239010884
0	1	0	0	0	0	0	1	1	36910	36655	0.8795863028819619	0.9930913031698728	0.9328989730603312
0	0	1	1	1	0	0	0	0	37304	37029	0.8885609387373119	0.9926281363928802	0.9377160439115186
