Sample	Pipeline	Recall	Precision	F1score	Recall_avg	Precision_avg	F1_avg	Shape
SRR13076392	BWA_TNscope	0.913469	0.986268	0.948474	0.8858252222222222	0.9866044444444443	0.9333746666666668	o
SRR13076392	DRAGEN-A_DeepVariant	0.312241	0.849236	0.456601	0.30790022222222224	0.8487705555555556	0.45186922222222214	o
SRR13076392	DRAGEN-A_DRAGEN-C	0.989922	0.975686	0.982752	0.9540311111111112	0.978683888888889	0.9659212222222222	o
SRR13076392	DRAGEN-A_Mutect2	0.983251	0.969066	0.976107	0.9534152222222221	0.945354	0.9490506666666667	o
SRR13076392	DRAGEN-A_TNscope	0.913397	0.965993	0.938959	0.8908938888888888	0.9389691111111111	0.9139183333333334	o
SRR13076392	DRAGMAP_DeepVariant	0.313272	0.851987	0.458102	0.30808911111111104	0.8489417777777778	0.4520961111111112	o
SRR13076392	DRAGMAP_DRAGEN-C	0.989826	0.975361	0.98254	0.9531458888888888	0.9773905555555553	0.9648273333333334	o
SRR13076392	DRAGMAP_Mutect2	0.983227	0.968309	0.975711	0.9534605555555556	0.9377663333333334	0.9451563333333333	o
SRR13076392	DRAGMAP_TNscope	0.913469	0.965408	0.938721	0.8906085555555554	0.9357282222222223	0.9122112222222221	o
SRR13076392	HISAT2_Mutect2	0.981379	0.971979	0.976656	0.9468294444444445	0.9334461111111112	0.9395215555555555	o
SRR13076392	HISAT2_TNscope	0.887481	0.986635	0.934435	0.863498	0.9856310000000001	0.9203613333333333	o
SRR13076393	Bowtie2_DeepVariant	0.284453	0.818929	0.422241	0.27620344444444445	0.8162826666666666	0.41272422222222227	v
SRR13076393	Bowtie2_DRAGEN-C	0.829866	0.991144	0.903363	0.9318556666666665	0.9860349999999999	0.9575875555555555	v
SRR13076393	Bowtie2_Mutect2	0.876419	0.926462	0.900746	0.9494371111111111	0.9199514444444444	0.9336362222222222	v
SRR13076393	Bowtie2_TNscope	0.804718	0.989146	0.887451	0.8729819999999999	0.9864581111111111	0.9259671111111112	v
SRR13076393	BWA_DeepVariant	0.309889	0.849438	0.454111	0.30823311111111107	0.8490867777777777	0.4522746666666666	v
SRR13076393	BWA_DRAGEN-C	0.880042	0.984405	0.929303	0.9527325555555556	0.9788714444444443	0.9653362222222223	v
SRR13076393	BWA_Mutect2	0.889497	0.94653	0.917127	0.9534338888888888	0.9444322222222223	0.948591111111111	v
SRR13076393	BWA_TNscope	0.841096	0.987881	0.908598	0.8858252222222222	0.9866044444444443	0.9333746666666668	v
SRR13076393	DRAGEN-A_DeepVariant	0.310441	0.849888	0.454768	0.30790022222222224	0.8487705555555556	0.45186922222222214	v
SRR13076393	DRAGEN-A_DRAGEN-C	0.883114	0.984827	0.931201	0.9540311111111112	0.978683888888889	0.9659212222222222	v
SRR13076393	DRAGEN-A_Mutect2	0.889569	0.947768	0.917747	0.9534152222222221	0.945354	0.9490506666666667	v
SRR13076393	DRAGEN-A_TNscope	0.859741	0.957507	0.905994	0.8908938888888888	0.9389691111111111	0.9139183333333334	v
SRR13076393	DRAGMAP_DeepVariant	0.309625	0.848937	0.453756	0.30808911111111104	0.8489417777777778	0.4520961111111112	v
SRR13076393	DRAGMAP_DRAGEN-C	0.881098	0.984027	0.929723	0.9531458888888888	0.9773905555555553	0.9648273333333334	v
SRR13076393	DRAGMAP_Mutect2	0.889641	0.942879	0.915487	0.9534605555555556	0.9377663333333334	0.9451563333333333	v
SRR13076393	DRAGMAP_TNscope	0.859117	0.954033	0.904091	0.8906085555555554	0.9357282222222223	0.9122112222222221	v
SRR13076393	HISAT2_Mutect2	0.871212	0.938309	0.903516	0.9468294444444445	0.9334461111111112	0.9395215555555555	v
SRR13076393	HISAT2_TNscope	0.809589	0.986491	0.889328	0.863498	0.9856310000000001	0.9203613333333333	v
SRR13076394	Bowtie2_DeepVariant	0.281549	0.816322	0.418692	0.27620344444444445	0.8162826666666666	0.41272422222222227	v
SRR13076394	Bowtie2_DRAGEN-C	0.911381	0.989578	0.948871	0.9318556666666665	0.9860349999999999	0.9575875555555555	v
SRR13076394	Bowtie2_Mutect2	0.933746	0.936939	0.93534	0.9494371111111111	0.9199514444444444	0.9336362222222222	v
SRR13076394	Bowtie2_TNscope	0.857918	0.989127	0.918862	0.8729819999999999	0.9864581111111111	0.9259671111111112	v
SRR13076394	BWA_DeepVariant	0.305018	0.847287	0.448558	0.30823311111111107	0.8490867777777777	0.4522746666666666	v
SRR13076394	BWA_DRAGEN-C	0.938953	0.982918	0.960433	0.9527325555555556	0.9788714444444443	0.9653362222222223	v
SRR13076394	BWA_Mutect2	0.939673	0.954469	0.947013	0.9534338888888888	0.9444322222222223	0.948591111111111	v
SRR13076394	BWA_TNscope	0.872867	0.988156	0.926941	0.8858252222222222	0.9866044444444443	0.9333746666666668	v
SRR13076394	DRAGEN-A_DeepVariant	0.304178	0.847439	0.44767	0.30790022222222224	0.8487705555555556	0.45186922222222214	v
SRR13076394	DRAGEN-A_DRAGEN-C	0.940321	0.982598	0.960995	0.9540311111111112	0.978683888888889	0.9659212222222222	v
SRR13076394	DRAGEN-A_Mutect2	0.939721	0.954704	0.947153	0.9534152222222221	0.945354	0.9490506666666667	v
SRR13076394	DRAGEN-A_TNscope	0.879706	0.959862	0.918038	0.8908938888888888	0.9389691111111111	0.9139183333333334	v
SRR13076394	DRAGMAP_DeepVariant	0.30497	0.848115	0.448622	0.30808911111111104	0.8489417777777778	0.4520961111111112	v
SRR13076394	DRAGMAP_DRAGEN-C	0.939649	0.981699	0.960214	0.9531458888888888	0.9773905555555553	0.9648273333333334	v
SRR13076394	DRAGMAP_Mutect2	0.939913	0.950058	0.944958	0.9534605555555556	0.9377663333333334	0.9451563333333333	v
SRR13076394	DRAGMAP_TNscope	0.879466	0.957519	0.916834	0.8906085555555554	0.9357282222222223	0.9122112222222221	v
SRR13076394	HISAT2_Mutect2	0.931682	0.947577	0.939562	0.9468294444444445	0.9334461111111112	0.9395215555555555	v
SRR13076394	HISAT2_TNscope	0.849735	0.987727	0.913549	0.863498	0.9856310000000001	0.9203613333333333	v
SRR13076395	Bowtie2_DeepVariant	0.282173	0.815691	0.419298	0.27620344444444445	0.8162826666666666	0.41272422222222227	v
SRR13076395	Bowtie2_DRAGEN-C	0.905142	0.98891	0.945174	0.9318556666666665	0.9860349999999999	0.9575875555555555	v
SRR13076395	Bowtie2_Mutect2	0.934562	0.927794	0.931166	0.9494371111111111	0.9199514444444444	0.9336362222222222	v
SRR13076395	Bowtie2_TNscope	0.854054	0.98798	0.916149	0.8729819999999999	0.9864581111111111	0.9259671111111112	v
SRR13076395	BWA_DeepVariant	0.306409	0.846526	0.449953	0.30823311111111107	0.8490867777777777	0.4522746666666666	v
SRR13076395	BWA_DRAGEN-C	0.940033	0.980944	0.960053	0.9527325555555556	0.9788714444444443	0.9653362222222223	v
SRR13076395	BWA_Mutect2	0.941929	0.947065	0.94449	0.9534338888888888	0.9444322222222223	0.948591111111111	v
SRR13076395	BWA_TNscope	0.874619	0.988313	0.927997	0.8858252222222222	0.9866044444444443	0.9333746666666668	v
SRR13076395	DRAGEN-A_DeepVariant	0.305882	0.84692	0.449439	0.30790022222222224	0.8487705555555556	0.45186922222222214	v
SRR13076395	DRAGEN-A_DRAGEN-C	0.941569	0.981514	0.961127	0.9540311111111112	0.978683888888889	0.9659212222222222	v
SRR13076395	DRAGEN-A_Mutect2	0.942025	0.948626	0.945314	0.9534152222222221	0.945354	0.9490506666666667	v
SRR13076395	DRAGEN-A_TNscope	0.883258	0.956251	0.918306	0.8908938888888888	0.9389691111111111	0.9139183333333334	v
SRR13076395	DRAGMAP_DeepVariant	0.306241	0.846848	0.449818	0.30808911111111104	0.8489417777777778	0.4520961111111112	v
SRR13076395	DRAGMAP_DRAGEN-C	0.940321	0.980312	0.9599	0.9531458888888888	0.9773905555555553	0.9648273333333334	v
SRR13076395	DRAGMAP_Mutect2	0.941809	0.941447	0.941628	0.9534605555555556	0.9377663333333334	0.9451563333333333	v
SRR13076395	DRAGMAP_TNscope	0.882586	0.951174	0.915597	0.8906085555555554	0.9357282222222223	0.9122112222222221	v
SRR13076395	HISAT2_Mutect2	0.930747	0.938017	0.934368	0.9468294444444445	0.9334461111111112	0.9395215555555555	v
SRR13076395	HISAT2_TNscope	0.849351	0.985741	0.912477	0.863498	0.9856310000000001	0.9203613333333333	v
SRR13076396	Bowtie2_DeepVariant	0.272743	0.821955	0.409578	0.27620344444444445	0.8162826666666666	0.41272422222222227	P
SRR13076396	Bowtie2_DRAGEN-C	0.958414	0.981568	0.969853	0.9318556666666665	0.9860349999999999	0.9575875555555555	P
SRR13076396	Bowtie2_Mutect2	0.968469	0.868178	0.915585	0.9494371111111111	0.9199514444444444	0.9336362222222222	P
SRR13076396	Bowtie2_TNscope	0.888273	0.989521	0.936168	0.8729819999999999	0.9864581111111111	0.9259671111111112	P
SRR13076396	BWA_DeepVariant	0.306577	0.850712	0.450724	0.30823311111111107	0.8490867777777777	0.4522746666666666	P
SRR13076396	BWA_DRAGEN-C	0.965565	0.975112	0.970315	0.9527325555555556	0.9788714444444443	0.9653362222222223	P
SRR13076396	BWA_Mutect2	0.967317	0.917744	0.941879	0.9534338888888888	0.9444322222222223	0.948591111111111	P
SRR13076396	BWA_TNscope	0.893048	0.985933	0.937195	0.8858252222222222	0.9866044444444443	0.9333746666666668	P
SRR13076396	DRAGEN-A_DeepVariant	0.305714	0.85024	0.449724	0.30790022222222224	0.8487705555555556	0.45186922222222214	P
SRR13076396	DRAGEN-A_DRAGEN-C	0.966597	0.974171	0.970369	0.9540311111111112	0.978683888888889	0.9659212222222222	P
SRR13076396	DRAGEN-A_Mutect2	0.967245	0.918931	0.942469	0.9534152222222221	0.945354	0.9490506666666667	P
SRR13076396	DRAGEN-A_TNscope	0.895616	0.896304	0.89596	0.8908938888888888	0.9389691111111111	0.9139183333333334	P
SRR13076396	DRAGMAP_DeepVariant	0.306889	0.850955	0.451095	0.30808911111111104	0.8489417777777778	0.4520961111111112	P
SRR13076396	DRAGMAP_DRAGEN-C	0.966429	0.971441	0.968929	0.9531458888888888	0.9773905555555553	0.9648273333333334	P
SRR13076396	DRAGMAP_Mutect2	0.967317	0.906293	0.935811	0.9534605555555556	0.9377663333333334	0.9451563333333333	P
SRR13076396	DRAGMAP_TNscope	0.895352	0.893508	0.894429	0.8906085555555554	0.9357282222222223	0.9122112222222221	P
SRR13076396	HISAT2_Mutect2	0.965301	0.896044	0.929384	0.9468294444444445	0.9334461111111112	0.9395215555555555	P
SRR13076396	HISAT2_TNscope	0.879778	0.983581	0.928789	0.863498	0.9856310000000001	0.9203613333333333	P
SRR13076397	Bowtie2_DeepVariant	0.275166	0.821418	0.412237	0.27620344444444445	0.8162826666666666	0.41272422222222227	P
SRR13076397	Bowtie2_DRAGEN-C	0.947544	0.982924	0.96491	0.9318556666666665	0.9860349999999999	0.9575875555555555	P
SRR13076397	Bowtie2_Mutect2	0.96379	0.850338	0.903516	0.9494371111111111	0.9199514444444444	0.9336362222222222	P
SRR13076397	Bowtie2_TNscope	0.881938	0.987135	0.931576	0.8729819999999999	0.9864581111111111	0.9259671111111112	P
SRR13076397	BWA_DeepVariant	0.304658	0.848493	0.448337	0.30823311111111107	0.8490867777777777	0.4522746666666666	P
SRR13076397	BWA_DRAGEN-C	0.956495	0.974977	0.965648	0.9527325555555556	0.9788714444444443	0.9653362222222223	P
SRR13076397	BWA_Mutect2	0.964005	0.907352	0.934821	0.9534338888888888	0.9444322222222223	0.948591111111111	P
SRR13076397	BWA_TNscope	0.886905	0.985258	0.933498	0.8858252222222222	0.9866044444444443	0.9333746666666668	P
SRR13076397	DRAGEN-A_DeepVariant	0.304826	0.848904	0.448576	0.30790022222222224	0.8487705555555556	0.45186922222222214	P
SRR13076397	DRAGEN-A_DRAGEN-C	0.958414	0.974717	0.966497	0.9540311111111112	0.978683888888889	0.9659212222222222	P
SRR13076397	DRAGEN-A_Mutect2	0.963837	0.90863	0.93542	0.9534152222222221	0.945354	0.9490506666666667	P
SRR13076397	DRAGEN-A_TNscope	0.890817	0.888004	0.889408	0.8908938888888888	0.9389691111111111	0.9139183333333334	P
SRR13076397	DRAGMAP_DeepVariant	0.302834	0.847321	0.446197	0.30808911111111104	0.8489417777777778	0.4520961111111112	P
SRR13076397	DRAGMAP_DRAGEN-C	0.956663	0.972413	0.964474	0.9531458888888888	0.9773905555555553	0.9648273333333334	P
SRR13076397	DRAGMAP_Mutect2	0.963909	0.891931	0.926524	0.9534605555555556	0.9377663333333334	0.9451563333333333	P
SRR13076397	DRAGMAP_TNscope	0.890217	0.880623	0.885394	0.8906085555555554	0.9357282222222223	0.9122112222222221	P
SRR13076397	HISAT2_Mutect2	0.960598	0.88209	0.919671	0.9468294444444445	0.9334461111111112	0.9395215555555555	P
SRR13076397	HISAT2_TNscope	0.872555	0.981987	0.924043	0.863498	0.9856310000000001	0.9203613333333333	P
SRR13076398	Bowtie2_DeepVariant	0.272071	0.819397	0.408503	0.27620344444444445	0.8162826666666666	0.41272422222222227	P
SRR13076398	Bowtie2_DRAGEN-C	0.950064	0.983335	0.966413	0.9318556666666665	0.9860349999999999	0.9575875555555555	P
SRR13076398	Bowtie2_Mutect2	0.963766	0.868051	0.913408	0.9494371111111111	0.9199514444444444	0.9336362222222222	P
SRR13076398	Bowtie2_TNscope	0.883018	0.989327	0.933154	0.8729819999999999	0.9864581111111111	0.9259671111111112	P
SRR13076398	BWA_DeepVariant	0.306265	0.848378	0.450059	0.30823311111111107	0.8490867777777777	0.4522746666666666	P
SRR13076398	BWA_DRAGEN-C	0.959254	0.976524	0.967812	0.9527325555555556	0.9788714444444443	0.9653362222222223	P
SRR13076398	BWA_Mutect2	0.963574	0.919573	0.941059	0.9534338888888888	0.9444322222222223	0.948591111111111	P
SRR13076398	BWA_TNscope	0.890001	0.983506	0.93442	0.8858252222222222	0.9866044444444443	0.9333746666666668	P
SRR13076398	DRAGEN-A_DeepVariant	0.305594	0.848039	0.449286	0.30790022222222224	0.8487705555555556	0.45186922222222214	P
SRR13076398	DRAGEN-A_DRAGEN-C	0.960406	0.974887	0.967592	0.9540311111111112	0.978683888888889	0.9659212222222222	P
SRR13076398	DRAGEN-A_Mutect2	0.96343	0.920975	0.941724	0.9534152222222221	0.945354	0.9490506666666667	P
SRR13076398	DRAGEN-A_TNscope	0.892256	0.885963	0.889099	0.8908938888888888	0.9389691111111111	0.9139183333333334	P
SRR13076398	DRAGMAP_DeepVariant	0.305042	0.847297	0.448585	0.30808911111111104	0.8489417777777778	0.4520961111111112	P
SRR13076398	DRAGMAP_DRAGEN-C	0.95947	0.973581	0.966474	0.9531458888888888	0.9773905555555553	0.9648273333333334	P
SRR13076398	DRAGMAP_Mutect2	0.963526	0.907494	0.934671	0.9534605555555556	0.9377663333333334	0.9451563333333333	P
SRR13076398	DRAGMAP_TNscope	0.892088	0.882014	0.887023	0.8906085555555554	0.9357282222222223	0.9122112222222221	P
SRR13076398	HISAT2_Mutect2	0.960238	0.893973	0.925921	0.9468294444444445	0.9334461111111112	0.9395215555555555	P
SRR13076398	HISAT2_TNscope	0.875027	0.982778	0.925778	0.863498	0.9856310000000001	0.9203613333333333	P
